OZN,OFU,OZU,OZK,OPIS,OFUst,OZUst,OZKst,
"B","B",,,"Tereny mieszkaniowe",,"B",,
"Ba","Ba",,,"Tereny przemys³owe",,"Ba",,
"Bi","Bi",,,"Inne tereny zabudowane",,"Bi",,
"Bp","Bp",,,"Zurbanizowane tereny niezabudowane",,"Bp",,
"Bz","Bz",,,"Tereny rekreacyjno-wypoczynkowe",,"Bz",,
"B-LsI","Br","Ls","I","U¿ytki rolne zabudowane","Br","Ls","I",
"B-LsII","Br","Ls","II","U¿ytki rolne zabudowane","Br","Ls","II",
"B-LsIII","Br","Ls","III","U¿ytki rolne zabudowane","Br","Ls","III",
"B-LsIV","Br","Ls","IV","U¿ytki rolne zabudowane","Br","Ls","IV",
"B-LsV","Br","Ls","V","U¿ytki rolne zabudowane","Br","Ls","V",
"B-LsVI","Br","Ls","VI","U¿ytki rolne zabudowane","Br","Ls","VI",
"B-£I","Br","£","I","U¿ytki rolne zabudowane",,"Br-£","I",
"B-£II","Br","£","II","U¿ytki rolne zabudowane",,"Br-£","II",
"B-£III","Br","£","III","U¿ytki rolne zabudowane",,"Br-£","III",
"B-£IV","Br","£","IV","U¿ytki rolne zabudowane",,"Br-£","IV",
"B-£V","Br","£","V","U¿ytki rolne zabudowane",,"Br-£","V",
"B-£VI","Br","£","VI","U¿ytki rolne zabudowane",,"Br-£","VI",
"B-PsI","Br","Ps","I","U¿ytki rolne zabudowane",,"Br-Ps","I",
"B-PsII","Br","Ps","II","U¿ytki rolne zabudowane",,"Br-Ps","II",
"B-PsIII","Br","Ps","III","U¿ytki rolne zabudowane",,"Br-Ps","III",
"B-PsIV","Br","Ps","IV","U¿ytki rolne zabudowane",,"Br-Ps","IV",
"B-PsV","Br","Ps","V","U¿ytki rolne zabudowane",,"Br-Ps","V",
"B-PsVI","Br","Ps","VI","U¿ytki rolne zabudowane",,"Br-Ps","VI",
"B-RI","Br","R","I","U¿ytki rolne zabudowane",,"Br-R","I",
"B-RII","Br","R","II","U¿ytki rolne zabudowane",,"Br-R","II",
"B-RIIIa","Br","R","IIIa","U¿ytki rolne zabudowane",,"Br-R","IIIa",
"B-RIIIb","Br","R","IIIb","U¿ytki rolne zabudowane",,"Br-R","IIIb",
"B-RIVa","Br","R","IVa","U¿ytki rolne zabudowane",,"Br-R","IVa",
"B-RIVb","Br","R","IVb","U¿ytki rolne zabudowane",,"Br-R","IVb",
"B-RV","Br","R","V","U¿ytki rolne zabudowane",,"Br-R","V",
